kota_administrasi,kecamatan,kelurahan,rw,jumlah_rw,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_jiwa,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Timur,Jatinegara,Bidara Cina,"005, 006, 007, 011, 014",5,20 - 100 ,"12, 14, 22, 23                             ",4,14,21,756,2182,0,0,0,0,0,0,0,0
Jakarta Timur,Jatinegara,Kampung Melayu,"001, 002, 003, 004, 005, 006, 007, 008",8,30 - 180 ,"12, 14, 22, 23                              ",4,28,191,6890,18050,0,0,0,0,323,323,3,0
Jakarta Selatan,Pesangrahan,Ulujami,"003, 005, 007",3,20 - 100 ,"12, 14, 21, 23                             ",4,6,12,384,1078,0,0,0,0,170,120,5,0
Jakarta Selatan,Tebet,Kebon Baru,10,1,50,"22, 23                             ",2,2,4,140,677,0,0,0,0,0,0,0,0
Jakarta Selatan,Tebet,Bukit Duri,10,1,  10 - 40 ,"23, 24                            ",2,1,2,100,550,0,0,0,0,0,0,0,0
Jakarta Barat,Kembangan,Kembangan Utara,4,1,30 - 40,12,1,3,0,0,0,0,0,0,0,0,0,0,0
Jakarta Utara,Pademangan Barat,Pademangan Barat,,0, 10 - 50,"14, 15",2,0,0,0,0,0,0,0,0,0,0,0,0
Jakarta Utara,Pademangan Timur,Pademangan Timur,,0, 10 - 50,"14, 15",2,0,0,0,0,0,0,0,0,0,0,0,0
Jakarta Utara,Tanjung Priok,Sunter Agung,,0,20 - 50,21,1,0,0,0,0,0,0,0,0,0,0,0,0
Jakarta Utara,Tanjung Priok,Kapuk Muara,"001, 004, 005",3,15 - 60,23,1,2,0,0,0,0,0,0,0,0,0,0,0
