kota_administrasi,kecamatan,kelurahan,rw,jumlah_rw,jumlah_rt,jumlah_kk,jumlah_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi,jumlah_tempat_pengungsian,jumlah_nilai_kerugian
Jakarta Timur,Jatinegara,Kampung Melayu,"01, 02, 03, 04, 05, 07, 08",7,0,2775,9335,30 - 200 ,13,1,0,0,0,0,0,0,0
Jakarta Selatan,,,,0,0,0,0,,,,0,0,0,0,0,0,0
Jakarta Pusat,,,,0,0,0,0,,,,0,0,0,0,0,0,0
Jakarta Barat,,,,0,0,0,0,,,,0,0,0,0,0,0,0
Jakarta Utara,,,,0,0,0,0,,,,0,0,0,0,0,0,0
