kota_administrasi,kecamatan,kelurahan,rw,jumlah_rw,jumlah_rt,jumlah_kk,jumlah_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi,jumlah_tempat_pengungsian,jumlah_nilai_kerugian
Jakarta Timur,Jatinegara,Kampung Melayu,"01, 02, 03, 04, 05, 07, 08",7,0,1508,3427,30 - 200,"09, 16, 17, 23",4,0,0,0,0,0,0,0
Jakarta Timur,Jatinegara,Bidara Cina,"03, 05, 07, 11, 14",5,0,627,2000,30 - 150 ,"16, 23",2,0,0,0,0,0,0,0
Jakarta Timur,Kramat Jati,Cawang,"01, 02, 03, 05",4,0,400,900, 10 - 30 ,23,1,0,0,0,0,0,0,0
Jakarta Selatan,,,,0,0,0,0,0,,,0,0,0,0,0,0,0
Jakarta Pusat,,,,0,0,0,0,0,,,0,0,0,0,0,0,0
Jakarta Barat,,,,0,0,0,0,0,,,0,0,0,0,0,0,0
Jakarta Utara,,,,0,0,0,0,0,,,0,0,0,0,0,0,0
