kota_administrasi,kecamatan,kelurahan,rw,jumlah_rw,jumlah_rt,jumlah_kk,jumlah_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi,jumlah_tempat_pengungsian,jumlah_nilai_kerugian
Jakarta Barat,Cengkareng,Rawa Buaya,"01, 02, 04",3,1,0,0,40 - 70 ,"27, 28",2,0,0,0,0,40,2,0
Jakarta Barat,Grogol Petamburan,Tanjung Duren Utara,"01, 07",2,2,0,0,30 - 40 ,27,1,0,0,0,0,0,0,0
Jakarta Barat,Grogol Petamburan,Wijaya Kesuma,"03, 04, 05, 07, 08",5,15,0,0,20 - 70 ,"27, 28",2,0,0,0,0,0,0,0
Jakarta Barat,Kebon Jeruk,Duri Kepa,"02, 03, 05, 08, 09, 13",6,4,0,0,30 - 70 ,"27, 28",2,0,0,0,0,0,0,0
Jakarta Barat,Kebon Jeruk,Kedoya Utara,"01, 02, 03, 08",4,2,0,0,50 - 60 ,"27, 28",2,0,0,0,0,0,0,0
Jakarta Pusat,Tanah Abang,Bendugan Hilir, 03,1,0,0,0,0 - 60 ,27,1,0,0,0,0,0,0,0
Jakarta Pusat,Tanah Abang,Karet Tengsin,"04, 05, 07, 08, 09",5,0,0,0,20 - 55 ,27,1,0,0,0,0,0,0,0
Jakarta Pusat,Tanah Abang,Kebon Melati,14,1,6,0,0, 10 - 15,27,1,0,0,0,0,0,0,0
Jakarta Pusat,Tanah Abang,Petamburan,"02, 03, 04",3,9,1595,7850,0 - 90 ,"27, 28",2,0,0,0,0,0,0,0
Jakarta Selatan,Pancoran,Rawa Jati,"01, 03, 06, 07",4,9,192,652,50 - 100,"23, 24",2,0,0,0,0,0,0,0
Jakarta Selatan,Pasar Minggu,Pejaten Timur, 07,1,0,0,0, 10 - 60,27,1,0,0,0,0,0,0,0
Jakarta Selatan,Tebet,Bukit Duri,"10, 11",2,3,23,98,20 - 80 ,"23, 24, 27, 28",4,0,0,0,0,98,1,0
Jakarta Selatan,Tebet,Kebon Baru,10,1,0,0,0,0 - 10 ,27,1,0,0,0,0,0,0,0
Jakarta Timur,Jatinegara,Bidara Cina,"03, 05, 07",3,14,462,1502, 10 - 50,"23, 24, 27, 28",4,0,0,0,0,0,0,0
Jakarta Timur,Jatinegara,Kampung Melayu,"01, 02, 03, 04, 05, 06, 07, 08",8,0,2899,7809,30 - 200 ,"22, 23, 24, 27, 28",5,0,0,0,0,81,2,0
Jakarta Timur,Kramat Jati,Cawang,"01, 02, 03, 05",4,19,400,900,10 - 150 ,"23, 24, 27, 28",4,0,0,0,0,0,0,0
Jakarta Timur,Kramat Jati,Cililitan,"06, 07",2,1,33,76,0 - 100 ,"27, 28",2,0,0,0,0,0,0,0
Jakarta Timur,Makasar,Cipinang Melayu,"03, 04, 05, 09, 12",5,0,0,0,0 - 50 ,27,1,0,0,0,0,0,0,0
Jakarta Utara,Cilincing,Semper Timur,"03, 10, 11",3,7,0,0, 10 - 30,"27, 28",2,0,0,0,0,0,0,0
Jakarta Utara,Penjaringan,Kapuk Muara,"01, 02, 04, 05",4,23,0,0,40 - 50 ,"27, 28",2,0,0,0,0,0,0,0
Jakarta Utara,Penjaringan,Pejagalan,15,1,1,0,0,25 - 55 ,27,1,0,0,0,0,0,0,0
