kota_administrasi,kecamatan,kelurahan,rw,jumlah_rw,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_jiwa,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Timur,Jatinegara,Bidara Cina,"005, 007, 011",3,20 - 150 ,21,1,3,0,0,0,0,0,0,0,0,0,0,0
Jakarta Selatan,Pancoran,Rajawati,"001, 003, 007",3,  0 - 150 ,21,1,3,5,0,0,0,0,0,0,0,0,0,0
Jakarta Utara,Pademangan,Pademangan Barat,"001, 002, 003, 004, 007, 008, 009, 010, 012, 013, 014, 015  ",12,30 - 60 ,"12, 14, 15, 16 17, 19, 20                                            ",7,28,3,0,0,0,0,0,0,0,0,0,0
Jakarta Utara,Pademangan,Pademangan Timur,"001, 002",2,  5 - 40 ,"18, 19, 20                                           ",3,3,2,0,0,0,0,0,0,0,0,0,0
