kota_administrasi,kecamatan,kelurahan,rw,jumlah_rw,jumlah_rt,jumlah_kk,jumlah_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi,jumlah_tempat_pengungsian,jumlah_nilai_kerugian
Jakarta Timur,Jatinegara,Kampung Melayu,"01, 02, 03, 04, 05, 07, 08",7,47,1508,3427,30 - 150 ,"06, 07",2,0,0,0,0,0,0,0
Jakarta Timur,Kramat Jati,Cililitan,"06,07",2,4,52,126, 10 - 30,7,1,0,0,0,0,0,0,0
Jakarta Selatan,Tebet,Bukit Duri,"10,12",2,3,0,0,0 - 10,7,1,0,0,0,0,0,0,0
Jakarta Pusat,,,,0,0,0,0,0,,,0,0,0,0,0,0,0
Jakarta Barat,,,,0,0,0,0,0,,,0,0,0,0,0,0,0
Jakarta Utara,,,,0,0,0,0,0,,,0,0,0,0,0,0,0
