kota_administrasi,kecamatan,kelurahan,rw,jumlah_rw,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_jiwa,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Timur,Jatinegara,Bidara Cina,"01 - 03, 05 - 07, 10, 11, 12, 14, 15",11,20 - 250 ," 9, 10, 11, 16 - 25  ",13,62,305,10482,29158,1,0,0,0,3849,1308,95,0
Jakarta Timur,Jatinegara,Kampung Melayu, 01 - 08,8,30 - 400 ," 9, 10, 11, 16 - 25  ",13,95,656,28312,75303,5,0,0,0,20494,2704,69,0
Jakarta Timur,Kramat Jati,Cawang,"01 - 06, 8, 12",8,30 - 260," 9, 10, 11, 16 - 21           ",9,40,183,6766,25314,0,0,0,0,5812,2000,27,0
Jakarta Timur,Kramat Jati,Cililitan,"05, 06, 07, 15, 16",5,40 - 300 ,"16 - 21, 23, 24, 26, 27           ",10,45,242,9766,29826,0,0,0,0,9781,3500,40,0
Jakarta Timur,Kramat Jati,Balekambang,"01, 02, 04, 05",4,30 - 150 ,17 - 19                             ,3,12,42,1068,3185,0,0,0,0,2566,1283,17,0
Jakarta Timur,Kramat Jati,Dukuh,"03, 04, 05, 06",4,60 - 80 ,17 - 19                             ,3,11,15,570,2380,0,0,0,0,0,0,1,0
Jakarta Timur,Pasar Rebo,Gedong,"01, 03, 11",3,50 - 100 ,17 - 19                             ,3,9,10,234,644,0,0,0,0,0,0,3,0
Jakarta Timur,Maraman,Kebon Manggis,"03, 04",2,25 - 120 ,17 - 19                             ,3,6,60,1178,8960,0,0,0,0,334,167,6,0
Jakarta Timur,Makasar,Makasar,"04,05,07",3,50 - 100 ,17 - 19                             ,3,9,37,768,0,0,0,0,0,0,0,2,0
Jakarta Timur,Makasar,Cipinang Melayu,"04,05,07",3,20 - 110 ,17 - 19                             ,3,6,31,266,798,0,0,0,0,0,0,2,0
Jakarta Timur,Makasar,Halim Perdana Kusuma,"05,06,08",3,20 - 110 ,17 - 19                             ,3,9,42,5,0,0,0,0,0,0,0,3,0
Jakarta Timur,Makasar,Pinang Ranti,4,1,50 - 100 ,17 - 19                             ,3,3,12,318,0,0,0,0,0,0,0,0,0
Jakarta Timur,Makasar,Kebon Pala,"01, 02, 04  - 06, 08 - 12",10,10 - 100 ,17 - 19                             ,3,30,139,2401,0,0,0,0,0,0,0,7,0
Jakarta Timur,Duren Sawit,Pondok Bambu,"04, 06, 07, 09, 10",5,30 - 90 ,17 - 19                             ,3,15,38,474,201,0,0,0,0,0,0,0,0
Jakarta Timur,Duren Sawit,Malaka Jaya,1,1,30 - 40 ,17 - 19                             ,3,3,0,0,0,0,0,0,0,0,0,0,0
Jakarta Timur,Duren Sawit,Pondok Kelapa,"04, 07, 09",3,30 - 40 ,17 - 19                             ,3,9,15,0,0,0,0,0,0,0,0,0,0
Jakarta Timur,Duren Sawit,Duren Sawit,11,1,30 - 40 ,17 - 19                             ,3,3,3,0,0,0,0,0,0,0,0,0,0
Jakarta Timur,Cakung,Jatinegara,8,1,20 - 80 ,17 - 19                             ,3,3,18,1565,0,0,0,0,0,0,0,0,0
Jakarta Timur,Cakung,Rawa Terate,"04, 05, 06",3,60 - 120 ,17 - 19                             ,3,9,31,4660,14472,0,0,0,0,0,0,7,0
Jakarta Timur,Cakung,Cakung Timur,"02, 05, 06, 10",4,40 - 80 ,17 - 19                             ,3,12,39,0,0,0,0,0,0,0,0,0,0
Jakarta Timur,Cakung,Penggilingan,9,1,50 - 100 ,17 - 19                             ,3,3,3,0,0,0,0,0,0,0,0,0,0
Jakarta Timur,Ciracas,Rambutan,"02, 03, 06",3,50 - 80 ,17 - 19                             ,3,9,27,383,2148,0,0,0,0,0,0,6,0
Jakarta Timur,Cipayung,Bambu Apus,6,1,50,17 - 19                             ,3,3,3,24,84,0,0,0,0,0,0,0,0
Jakarta Timur,Cipayung,Setu,4,1,50,17 - 19                             ,3,3,3,0,0,1,0,0,0,0,0,0,0
Jakarta Selatan,Tebet,Bukit Duri,"09, 10, 11, 12",4,10 - 300 ,"9 - 11, 16 - 21 ,23, 24, 25",12,35,232,5039,26290,0,0,0,0,3196,1151,36,0
Jakarta Selatan,Tebet,Kebon Baru,10,1,20 - 300 ,"10, 11, 16, 17, 18, 19 ",6,6,22,236,26979,2,0,0,0,0,0,9,0
Jakarta Selatan,Tebet,Manggarai,"01, 04, 10",3,40 - 180 ,17 - 19,3,9,34,2605,8423,0,0,0,0,0,0,0,0
Jakarta Selatan,Cilandak,Pondok Labu,"01, 03, 07, 08, 10",5,30 - 150 ,"09 - 11, 13, 16 - 19 ",8,17,23,533,2194,0,0,0,0,130,65,4,0
Jakarta Selatan,Cilandak,Cilandak Barat,4,1,150,17 - 19,3,3,0,0,0,0,0,0,0,0,0,0,0
Jakarta Selatan,Pasar Minggu,Pejaten Timur,"01, 03, 05 - 08, 11 - 13, 16, 17",11,0 - 150 ,"10, 11, 16, 17, 18, 19 ",6,49,54,4796,13832,0,0,0,0,240,60,4,0
Jakarta Selatan,Pasar Minggu,Cilandak Timur,"07, 08, 09",3,30,"16, 17, 18, 19 ",4,12,3,265,755,0,0,0,0,0,0,0,0
Jakarta Selatan,Kebayoran Baru,Petogogan,"01, 02, 03",3,20 - 100 ,"10, 11, 15 - 19   ",7,19,38,1948,6978,1,0,0,0,0,0,0,0
Jakarta Selatan,Pancoran,Rawajati,"01, 03, 06, 07",4,10 - 160 ,"10, 11, 16 - 25",12,34,70,4587,14480,0,0,0,0,1324,729,17,0
Jakarta Selatan,Pancoran,Pengadegan,"01, 02",2,10 - 200 ,"10, 11, 17 - 21, 25 - 29 ",12,20,111,3177,8697,0,0,0,0,1753,534,13,0
Jakarta Selatan,Pancoran,Kalibata,5,1,50,"17, 18, 19  ",3,3,3,0,0,1,0,0,0,0,0,0,0
Jakarta Selatan,Kebayoran Lama,Pondok Pinang,"01, 05",2,10 - 135 ,"10, 11, 16, 17, 18, 19  ",6,10,6,1187,4011,0,0,0,0,113,48,0,0
Jakarta Selatan,Kebayoran Lama,Kebayoran Lama Utara,11,1,100,"16, 17, 18, 19   ",4,4,12,5,25,0,0,0,0,0,0,0,0
Jakarta Selatan,Pesanggrahan,Petukangan Selatan,6,1,90,"16, 17, 18, 19   ",4,4,4,320,0,0,0,0,0,0,0,0,0
Jakarta Selatan,Pesanggrahan,Bintaro,"06, 10, 12",3,30 - 70 ,"16, 17, 18, 19   ",4,12,12,115,370,0,0,0,0,0,0,0,0
Jakarta Selatan,Pesanggrahan,Ulujami,"03, 05, 07",3,40 - 100 ,"16, 17, 18, 19   ",4,12,36,1072,3348,0,0,0,0,600,150,8,0
