kota_administrasi,kecamatan,kelurahan,rw,jumlah_rw,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_jiwa,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Selatan,Pesanggrahan,Cipulir,"08, 10",2,20 - 160 ,"16, 17, 18, 19   ",4,8,7,184,886,0,0,0,0,0,0,8,0
Jakarta Selatan,Jagakarsa,Tanjung Barat,5,1,100,"16, 17, 18, 19   ",4,4,8,36,140,0,0,0,0,1134,567,0,0
Jakarta Selatan,Jagakarsa,Lenteng Agung,6,1,80,"16, 17, 18, 19   ",4,4,8,116,1011,0,0,0,0,345,87,0,0
Jakarta Selatan,Jagakarsa,Srengseng Sawah,"01, 02",2,100,"16, 17, 18, 19   ",4,8,8,0,150,0,0,0,0,0,0,0,0
Jakarta Selatan,Setiabudi,Guntur,,0,,25,1,0,0,0,0,0,0,0,0,610,610,4,0
Jakarta Selatan,Setiabudi,Karet Semanggi,,0,,25,1,0,0,0,0,0,0,0,0,50,50,0,0
Jakarta Pusat,Johar Baru,Galur,"01, 02, 03, 06, 07",5,30 - 55 ,"9, 10, 16",3,15,33,0,0,0,0,0,0,0,0,0,0
Jakarta Pusat,Tanah Abang,Petamburan, 01 - 05,5,30 - 55 ,"10, 11, 16, 17, 18, 19 ",6,24,69,1673,8113,1,0,0,0,0,0,0,0
Jakarta Pusat,Tanah Abang,Karet Tengsin,"05, 07, 09",3,40 - 60 ,"17, 18, 19    ",3,9,63,5133,15021,0,0,0,0,3804,1268,18,0
Jakarta Pusat,Gambir,Cideng,,0,30 - 50 ,"17, 18, 19    ",3,0,0,0,0,0,0,0,0,0,0,0,0
Jakarta Pusat,Sawah Besar,Pasar Baru,,0,15 - 30 ,"16,17,18",3,0,0,0,0,0,0,0,0,0,0,0,0
Jakarta Pusat,Sawah Besar,Karang Anyar,,0, 5 - 15,16,1,0,0,0,0,0,0,0,0,0,0,0,0
Jakarta Pusat,Sawah Besar,Gunung Sahari Utara,,0,10,16,1,0,0,0,0,0,0,0,0,0,0,0,0
Jakarta Pusat,Sawah Besar,Kemayoran,,0,10,16,1,0,0,0,0,0,0,0,0,0,0,0,0
Jakarta Barat,Kebon Jeruk,Kedoya Utara,"01, 02, 04, 08",4,30 - 100 ,"13 - 14, 16 - 21",8,25,205,15375,55835,1,0,0,0,0,0,8,0
Jakarta Barat,Kebon Jeruk,Kedoya Selatan,"02, 05",2,30 - 150 ,"13 - 14, 16 - 21",8,8,72,7096,27564,0,0,0,0,200,200,0,0
Jakarta Barat,Kebon Jeruk,Duri Kepa,"02 - 05, 07 - 10, 13, 14",10,20 - 70 ,"13 - 14, 16 - 25",12,31,52,1500,5799,0,0,0,0,0,0,0,0
Jakarta Barat,Kebon Jeruk,Sukabumi Selatan,"01, 02, 05, 07",4,20 - 60,"16, 17 ,18, 19",4,12,20,397,245,0,0,0,0,0,0,0,0
Jakarta Barat,Kebon Jeruk,Meruya Selatan,"03, 06, 07",3, 10 - 40,"17, 18, 19  ",3,9,12,0,0,0,0,0,0,0,0,1,0
Jakarta Barat,Grogol Petamburan,Grogol,"03, 04, 05",3, 10 - 50,"16, 22, 23",3,6,0,60,0,0,0,0,0,150,150,0,0
Jakarta Barat,Grogol Petamburan,Wijaya Kusuma,"05, 07",2,20 - 100 ,16 - 22,7,8,9,930,1470,0,0,0,0,1101,510,12,0
Jakarta Barat,Grogol Petamburan,Tanjung Duren Utara,,0, 10 - 60,"14, 16, 17, 18, 19 ",5,0,0,0,0,3,0,0,0,0,0,0,0
Jakarta Barat,Grogol Petamburan,Tanjung Duren Selatan,,0,20 - 60,"16, 17, 18, 19 ",4,0,0,0,0,0,0,0,0,0,0,0,0
Jakarta Barat,Grogol Petamburan,Tomang,,0,20 - 50 ,"14, 17, 18, 19 ",4,0,0,0,0,0,0,0,0,0,0,0,0
Jakarta Barat,Grogol Petamburan,Jelambar,"02, 04, 05, 07, 08, 09, 10, 11",8,10 - 120 ,"14, 16 - 21",7,24,150,723,1692,0,0,0,0,600,200,30,0
Jakarta Barat,Grogol Petamburan,Jelambar Baru,"01, 02, 10, 11",4,15 - 40                 ,"14, 16 - 21",7,12,15,0,0,0,0,0,0,0,0,0,0
Jakarta Barat,Cengkareng,Kapuk,16-Jan,16,10 - 160 ,"14, 16 - 25",11,79,221,1237,782,1,0,0,0,3438,2958,11,0
Jakarta Barat,Cengkareng,Cengkareng Timur,"03 - 05,10 - 14, 16, 17",10, 10 - 50,"14, 16 - 21",7,54,275,9013,0,0,0,0,0,438,146,12,0
Jakarta Barat,Cengkareng,Cengkareng Barat,"04, 05, 07 - 11, 14",8, 10 - 60,"14, 16 - 25",11,69,310,34979,78330,2,0,0,0,11773,11373,18,0
Jakarta Barat,Cengkareng,Duri Kosambi,"02, 04 - 06, 08, 13",6, 10 - 80,"14, 16 - 21",7,33,131,14462,41950,1,0,0,0,2645,2645,10,0
Jakarta Barat,Cengkareng,Kedaung kaliangke,"01 - 08, 12",9, 10 - 90,"14, 16 - 29",15,177,378,39605,198505,3,0,0,0,12038,5312,50,0
Jakarta Barat,Cengkareng,Rawa Buaya,12-Jan,12,50  - 200 ,"14, 16 - 21",7,73,729,240931,319584,1,0,0,0,26628,6555,31,0
Jakarta Barat,Tambora,Tambora,"01 - 07, 12",8,30 - 100 ,"14, 16 - 25",10,40,63,0,0,0,0,0,0,318,78,5,0
Jakarta Barat,Tambora,Angke,"01- 09, 11",10,30 - 50   ,"17 - 18, 22",3,20,0,0,0,0,0,0,0,0,0,2,0
Jakarta Barat,Tambora,Pekojan,12-Jan,12,20 - 120 ,17 - 25,9,46,43,0,0,0,0,0,0,8186,2480,87,0
Jakarta Barat,Tambora,Duri Selatan,"01, 06, 08",3,40,17 - 22,6,6,2,0,0,0,0,0,0,0,0,0,0
Jakarta Barat,Tambora,Jembatan Besi,"02, 05, 08",3,45,17 - 22,6,3,0,0,0,0,0,0,0,0,0,2,0
Jakarta Barat,Tambora,Jembatan Lima,"01, 02, 03, 07, 08",5,30 - 50                   ,17 - 25,9,18,5,97,453,2,0,0,0,1175,520,35,0
Jakarta Barat,Tambora,Kalianyar,7,1,30 - 45 ,"17 - 20, 22 ",5,1,1,0,0,0,0,0,0,0,0,0,0
Jakarta Barat,Tambora,Roa Malaka,"01, 02, 03",3,40 - 150 ,21-24,4,12,0,0,0,1,0,0,0,660,200,10,0
Jakarta Barat,Tambora,Tanah Sereal,"01 - 07, 11",8, 10 - 60,21-25,5,37,0,0,0,0,0,0,0,1210,605,7,0
Jakarta Barat,Tambora,Krendang,"02, 03",2, 10 - 60,21-25,5,9,0,0,0,0,0,0,0,1153,500,9,0
Jakarta Barat,Kalideres,Kalideres,"03, 09, 12",3, 10 - 50,14,1,3,3,0,0,0,0,0,0,0,0,0,0
Jakarta Barat,Kalideres,Tegal Alur,"03, 04, 05, 07, 12",5,30 - 60 ,"14 ,19 - 25 ",8,25,49,430,980,0,0,0,0,1391,270,26,0
Jakarta Barat,Kalideres,Kamal,"01, 02, 06, 07, 09",5, 10 - 50,"14, 19 - 21 ",4,12,22,204,675,0,0,0,0,0,0,0,0
Jakarta Barat,Kalideres,Semanan,"01, 03, 04, 07",4, 05 - 25,"14, 22, 23 ",3,8,32,468,0,0,0,0,0,1000,500,4,0
Jakarta Barat,Kalideres,Pegadungan,,0, 10 - 20,"19, 20, 21 ",3,0,9,0,0,0,0,0,0,0,0,0,0
Jakarta Barat,Kembangan,Kembangan Utara,"01 - 08, 10",9,20 - 100 ,16 - 21 ,6,51,135,13086,52167,0,0,0,0,0,0,12,0
Jakarta Barat,Kembangan,Joglo,6,1,40 - 60 ,16 - 18 ,3,3,6,0,0,0,0,0,0,0,0,0,0
Jakarta Barat,Kembangan,Meruya Utara,,0,30 - 40  ,16 - 18 ,3,0,0,0,0,0,0,0,0,0,0,0,0
Jakarta Barat,Kembangan,Meruya Selatan,"03, 06, 07",3, 10 - 40,17 - 20,4,12,16,0,0,0,0,0,0,0,0,2,0
Jakarta Barat,Palmerah,Palmerah,"06, 08, 09",3,30,19 - 21 ,3,9,12,0,0,0,0,0,0,0,0,0,0
Jakarta Barat,Palmerah,Kota Bambu Selatan,"01 - 04, 07",5,30 - 150 ,17 - 21,5,25,70,11955,20310,0,0,0,0,12306,4102,26,0
Jakarta Barat,Palmerah,Kota Bambu Utara,,0,60 - 150 ,19 - 21 ,3,0,15,0,5670,3,0,0,0,5940,1980,12,0
Jakarta Barat,Palmerah,kemanggisan,"02, 05, 08, 09",4, 10 - 45,19 - 21 ,3,12,12,0,0,0,0,0,0,0,0,0,0
Jakarta Barat,Palmerah,jatipulo, 01 - 03,3,30 - 80 ,19 - 21 ,3,9,36,0,1857,1,0,0,0,1857,619,27,0
Jakarta Barat,Taman Sari,Glodok,"01 - 05, 09",6,10 - 120 ,"19 - 21, 24, 25",5,18,0,0,0,1,0,0,0,296,275,12,0
Jakarta Barat,Taman Sari,Tangki,,0,35 - 110 ,19 - 21 ,3,0,21,0,0,0,0,0,0,63,21,15,0
Jakarta Barat,Taman Sari,Pinangsia,"01 - 05, 07, 08",7,20 - 105 ,"19 - 21, 24, 25 ",5,29,0,0,0,1,0,0,0,300,150,11,0
Jakarta Barat,Taman Sari,Maphar,"01 - 03, 05 - 09",8,30 - 60 ,19 - 21 ,3,24,0,0,0,0,0,0,0,0,0,15,0
Jakarta Utara,Kelapa Gading,Kelapa Gading Timur,"06 - 10, 17, 19",7,30 - 40 ,16 - 21 ,6,42,0,0,0,0,0,0,0,0,0,0,0
Jakarta Utara,Kelapa Gading,Pegangsaan Dua,"02, 03, 07, 10, 11, 15,16",7, 5 - 25,16 - 21 ,6,42,0,0,0,0,0,0,0,0,0,0,0
Jakarta Utara,Penjaringan,Penjaringan,17-Jan,17,10 - 100                                                                                 ,"14, 15, 17 - 29 ",15,59,0,0,0,0,0,0,0,24870,7435,23,0
Jakarta Utara,Penjaringan,Kapuk Muara,"01 - 05, 08, 09",7,25 - 170 ,"13, 14, 16 - 20, 22 - 25 ",11,39,134,400,5204,2,0,0,0,2840,900,12,0
Jakarta Utara,Penjaringan,Kamal Muara,"01, 02, 03, 07",4, 25 - 170,"14, 16 - 21, 23 ",8,10,34,430,342,0,0,0,0,0,0,0,0
Jakarta Utara,Penjaringan,Pejagalan,"06 - 10, 12 - 15, 17",10,10 - 100 ,"14, 16 - 25",10,50,0,0,70,3,0,0,0,158,40,0,0
Jakarta Utara,Penjaringan,Muara Baru, 01 - 05,5,40 - 150 ,19 - 21 ,3,5,33,4533,13657,0,0,0,0,1485,1485,3,0
Jakarta Utara,Penjaringan,Pluit,"4 - 7, 9, 11,16, 19",8,5 - 250 ,"14, 16, 17, 21 - 24",7,7,115,4466,14194,0,0,0,0,8015,2525,14,0
Jakarta Utara,Pademangan,Ancol,"01, 02, 04 - 12, 15",12,40 - 60 ,"14, 17, 18 - 21",5,33,1,265,1796,0,0,0,0,840,280,3,0
Jakarta Utara,Pademangan,Pademangan Barat,"01, 02, 05, 07",4, 5 - 20,16,1,0,0,0,0,0,0,0,0,0,0,0,0
Jakarta Utara,Pademangan,Pademangan Timur,"01 - 03, 05 - 10",9,25 - 50  ,17 - 20,4,18,0,0,0,0,0,0,0,140,70,0,0
Jakarta Utara,Tanjung Priok,Tanjung Priok,"03, 04, 06, 14, 15",5,20 - 105                                 ,"16, 19 - 21",4,15,0,0,3813,0,0,0,0,0,0,24,0
Jakarta Utara,Tanjung Priok,Sunter Agung,"03, 06, 07",3,10,"16, 19, 21",3,6,0,0,0,0,0,0,0,800,800,0,0
Jakarta Utara,Tanjung Priok,Kebon Bawang,16-Jan,16, 5 - 60,16 - 21,6,82,2,1255,92,0,0,0,0,368,92,25,0
Jakarta Utara,Tanjung Priok,Sungai Bambu,"03, 07, 09",3,25 - 80 ,19 - 21 ,3,9,6,0,0,0,0,0,0,852,284,18,0
Jakarta Utara,Tanjung Priok,Papanggo,,0,20 - 60 ,19 - 21 ,3,0,0,0,0,0,0,0,0,4090,1364,0,0
Jakarta Utara,Tanjung Priok,Sunter Jaya,,0,20 - 60 ,19 - 21 ,3,0,0,0,0,0,0,0,0,3258,1139,0,0
Jakarta Utara,Tanjung Priok,Warakas,,0,20 - 60 ,19 - 21 ,3,0,0,0,0,0,0,0,0,12450,4150,0,0
Jakarta Utara,Cilincing,Cilincing,"08, 09",2, 5 - 40,17 - 21,5,10,40,0,0,0,0,0,0,600,200,0,0
Jakarta Utara,Cilincing,Semper Barat,17-Jan,17,15 - 60 ,17 - 21,5,85,0,0,6425,0,0,0,0,2262,600,9,0
Jakarta Utara,Cilincing,Semper Timur, 01 - 09,9,25 - 150 ,17 - 21,5,45,0,0,7150,0,0,0,0,8175,1635,55,0
Jakarta Utara,Cilincing,Marunda,"01, 04 - 07",5, 5 - 70,17 - 21,5,25,0,0,6950,0,0,0,0,1518,400,11,0
Jakarta Utara,Cilincing,Rorotan,"04 - 08, 12",6,20 - 180 ,17 - 21,5,30,0,0,12125,0,0,0,0,2350,725,5,0
Jakarta Utara,Cilincing,Sukapura,"02, 07, 08, 10",4,30 - 80 ,17 - 21,5,20,0,0,6625,0,0,0,0,2670,800,5,0
