kota_administrasi,kecamatan,kelurahan,rw,jumlah_rw,jumlah_rt,jumlah_kk,jumlah_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Timur,Jatinegara,Bidara Cina,,15,99,4376,16563,20 - 300,"12,13,14,15,18,19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31                                   ",18,0,0,0,0,5955,21,0
Jakarta Timur,Jatinegara,Kampung Melayu,,8,91,4918,15185,30 - 350,"12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31                                         ",20,0,0,0,0,7713,18,0
Jakarta Timur,Jatinegara,Cipinang Muara,,7,3,193,552,100 - 150 ,"12, 13, 14, 19, 20, 21, 22, 23, 24, 28, 29, 30, 31                           ",13,0,0,0,0,0,1, -   
Jakarta Timur,Jatinegara,Cipinang Besar Selatan,,2,10,612,2448,50 - 150 ,"14, 19, 20, 21, 22, 23, 29, 30, 31                                ",9,0,0,0,0,205,1,0
Jakarta Timur,Kramat Jati,Cawang,,7,29,1999,6397,50 - 400 ,"12, 13, 14, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31 ",17,0,0,0,0,3811,9,0
Jakarta Timur,Kramat Jati,Kramat Jati,,1,12,1216,2863,50 - 150 ,"12, 13, 14, 19, 20, 21, 22 ",7,0,0,0,0,0,6,0
Jakarta Timur,Kramat Jati,Cililitan,,6,34,1816,5565,40 - 250 ,"12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 ",19,0,0,0,0,2424,13,0
Jakarta Timur,Kramat Jati,Dukuh,,5,12,260,1040,50 - 12 ,"12, 13, 14, 19, 20, 21 ",6,0,0,0,0,0,0,0
Jakarta Timur,Kramat Jati,Balekambang,,5,15,649,2786,100,"14, 19, 20, 21, 22, 23, 24, 25, 26, 27 ",10,0,0,0,0,2786,13,0
Jakarta Timur,Cipayung,Lubang Buaya,,3,5,93,535,50 - 100 ,"14, 18, 19, 20, 21, 30 ",6,0,0,0,0,535,3,0
Jakarta Timur,Cipayung,Setu,,4,6,0,0, 10 - 50,"18, 19, 20, 21, 22, 28, 29, 30",8,0,0,0,0,0,0,0
Jakarta Timur,Cipayung,Cilangkap,,3,2,35,107,30 - 80 ,"19, 20, 21, 22, 28. 29, 30",7,0,0,0,0,107,2,0
Jakarta Timur,Cipayung,Bambu Apus,,3,5,0,0, 10 - 50,"19, 20, 21, 22, 28, 29, 30 ",7,0,0,0,0,0,0,0
Jakarta Timur,Cipayung,Pondok Ranggon,,2,2,18,159,50 - 100 ,"19, 20, 21, 22, 28, 29, 30 ",7,0,0,0,0,159,1,0
Jakarta Timur,Ciracas,Kp. Rambutan,,5,21,1071,4331,20 - 50 ,"28, 29, 30 ",3,0,0,0,0,651,3, -   
Jakarta Timur,Ciracas,Cibubur,,3,3,0,0,30 - 50 ,"28, 29, 30 ",3,0,0,0,0,0,0, -   
Jakarta Timur,Pasar Rebo,Pekayon,,5,7,193,615, 10 - 50 ,"12, 13, 14, 19, 20, 21, 22, 23, 24, 25                            ",10,0,0,0,0,0,2,0
Jakarta Timur,Pasar Rebo,Gedong,,3,5,131,326,30 - 200 ,"12, 13, 14, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 30,31                               ",16,0,0,0,0,0,3,0
Jakarta Timur,Pasar Rebo,Kalisari,,4,10,472,1955,20 - 50 ,"14, 19, 20, 21",4,0,0,0,0,0,3,0
Jakarta Timur,Pasar Rebo,Kampung Baru,,4,6,21,79, 10 - 50,"14, 19, 20, 21, 22, 23, 24, 25",8,0,0,0,0,0,3,0
Jakarta Timur,Makasar,Cipinang Melayu,,8,39,2195,9703,50 - 215 ,"12, 13, 14, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31",17,0,0,0,0,1025,3,0
Jakarta Timur,Makasar,Makasar,,5,21,1375,5842,30 - 150 ,"12, 13, 14, 18, 19, 20, 21, 22, 23, 29, 30, 31                        ",12,0,0,0,0,1217,6,0
Jakarta Timur,Makasar,Kebon Pala,,8,44,529,2392,30 - 60 ,"12, 13, 14, 19, 20, 21, 22, 23, 24",9,0,0,0,0,0,6,0
Jakarta Timur,Makasar,Halim Perdana Kusuma,,3,19,350,1747,80 - 160 ,"14, 19, 20, 21, 22, 23 ",6,0,0,0,0,0,5,0
Jakarta Timur,Makasar,Pinang Ranti,,2,3,389,1254,30 - 120 ,"14, 19, 20, 21, 22, 23",6,0,0,0,0,0,1,0
