kota_administrasi,kecamatan,kelurahan,rw,jumlah_rw,jumlah_rt,jumlah_kk,jumlah_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Timur,Matraman,Kebon Manggis,,4,23,576,1608,10 - 100 ,"14, 15, 19, 20, 21, 22, 23, 24, 25, 30, 31            ",11,0,0,0,0,1608,6,0
Jakarta Timur,Cakung,Rawa Terate,,3,2,327,1313,20 - 100 ,"14, 18, 19, 20, 21, 22, 23, 24,  25",9,0,0,0,0,530,5,0
Jakarta Timur,Cakung,Pengilingan,,4,12,201,812,20 - 100 ,"18, 19, 20, 21, 22, 23",6,0,0,0,0,480,4,0
Jakarta Timur,Cakung,Cakung Barat,,7,27,844,2276,50 - 100 ,"14,18, 19, 20, 21, 22, 23, 25, 26, 27               ",10,0,0,0,0,519,3,0
Jakarta Timur,Cakung,Pulo Gebang,,8,10,297,574,30 - 100 ,"18, 19, 20, 21, 22, 23, 24, 25",8,0,0,0,0,215,1,0
Jakarta Timur,Cakung,Cakung Timur,,8,27,2465,0,20 - 100 ,"18, 19, 20, 21, 22, 23, 24, 25, 26, 27",10,0,0,0,0,2380,3,0
Jakarta Timur,Cakung,Jatinegara,,1,1,0,124,30 - 50 ,"18, 19, 20, 21, 22, 23, 24, 25, 26, 27",10,0,0,0,0,0,0,0
Jakarta Timur,Duren Sawit,Pondok Kelapa,,1,1,0,0,30 - 40 ,"18, 19, 20,  21 ",4,0,0,0,0,0,0,0
Jakarta Timur,Duren Sawit,Pondok Bambu,,1,1,97,347,30 - 100 ,"29, 30, 31",3,0,0,0,0,150,1,0
Jakarta Timur,Pulogadung,Pulogadung,,10,0,0,0,50,"18, 19, 20, 21, 22, 23",6,0,0,0,0,0,0,0
Jakarta Selatan,Pasar Minggu,Kebagusan,,7,23,662,2417,70 - 100 ,"12, 13, 14 ",3,0,0,0,0,0,,0
Jakarta Selatan,Pasar Minggu,Pejaten Timur,,8,23,1108,3577,70 - 120 ,"12, 13, 14, 18, 19, 20, 21, 22, 23, 24, 25, 28, 29, 30, 31                        ",15,0,0,0,0,4306,8,0
Jakarta Selatan,Pasar Minggu,Jati Padang,,1,8,350,1050,50 - 100 ,"29, 30,  31",3,0,0,0,0,500,2,0
Jakarta Selatan,Cilandak,Cilandak Barat,,1,1,0,0,100 - 120 ,"12, 13,  14",3,0,0,0,0,0,0,0
Jakarta Selatan,Cilandak,Pondok Labu,,1,1,0,0,100,"12, 13, 14",3,0,0,0,0,0,0,0
Jakarta Selatan,Pesanggrahan,Ulujami,,5,4,0,0,120,"12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23",11,0,0,0,0,360,1,0
Jakarta Selatan,Pesanggrahan,Bintaro,,1,5,0,0,40 - 60 ,"12, 13, 14",3,0,0,0,0,0,0,0
Jakarta Selatan,Pesanggrahan,Petukangan Selatan,,5,14,753,1372, 10 - 40,"30 , 31",2,0,0,0,0,0,3,0
Jakarta Selatan,Tebet,Bukit Duri,,4,36,1358,7139,10 - 200 ,"12, 13, 14, 15, 16, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31",18,0,0,0,0,7139,14,0
Jakarta Selatan,Tebet,Kebon Baru,,6,41,2277,10546,10 - 300 ,"12 , 13, 14, 18, 19, 20, 21, 22, 23, 24, 25, 26 27, 29, 30, 31                     ",16,0,0,0,0,10546,7,0
Jakarta Selatan,Tebet,Manggarai,,3,16,844,3563,40 - 200 ,"14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 30, 31                ",12,0,0,0,0,3563,7,0
Jakarta Selatan,Mampang Prapatan,Bangka,,3,5,575,2061,50 - 100 ,"12, 13, 14, 19, 20, 21, 22, 23, 30, 31              ",10,0,0,0,0,266,5,0
Jakarta Selatan,Mampang Prapatan,Pela Mampang,,2,2,0,0,50,14,1,0,0,0,0,0,0,0
Jakarta Selatan,Mampang Prapatan,Mampang Prapatan,,2,2,0,0,50,14,1,0,0,0,0,0,0,0
Jakarta Selatan,Kebayoran Lama,Pondok Pinang,,2,7,214,719,75 - 135 ,"12, 13, 14, 29, 30, 31",6,0,0,0,15,1,0,0
Jakarta Selatan,Kebayoran Lama,Cipulir,,1,2,59,310,20 - 150 ,"14, 19, 20, 21, 22, 23, 24",7,0,0,0,0,25,1,0
Jakarta Selatan,Kebayoran Lama,Kebayoran Lama Utara,,1,2,0,0,20,"19, 20, 21, 22, 23",5,0,0,0,0,0,0,0
Jakarta Selatan,Kebayoran Baru,Petogogan,,3,30,0,441,150,"12, 13, 14, 18, 19, 20, 21, 22, 23, 30, 31            ",11,0,0,0,0,441,3,0
Jakarta Selatan,Kebayoran Baru,Cipete Utara,,1,0,0,0,20,18,1,0,0,0,0,0,0,0
Jakarta Selatan,Pancoran,Rawajati,,4,14,838,3329,15 - 300 ,"14, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 30,  31               ",13,0,0,0,0,3329,7,0
Jakarta Selatan,Pancoran,Pengadegan,,2,7,663,3586,30 - 150 ,"14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27",13,0,0,0,0,3586,8,0
Jakarta Selatan,Pancoran,Kalibata,,2,0,0,0,30,14,1,0,0,0,0,0,0,0
Jakarta Selatan,Pancoran,Cikoko,,1,1,37,137,50 - 100 ,"19, 20, 21, 22, 23",5,0,0,0,0,0,3,0
Jakarta Selatan,Pancoran,Pancoran,,3,0,0,0,20 - 70,22,1,0,0,0,0,604,4,0
Jakarta Selatan,Pancoran,Duren Tiga,,1,11,0,0,30 - 60 ,"19, 20, 21, 22, 23",5,0,0,0,0,0,0,0
Jakarta Selatan,Jagakarsa,Tanjung Barat,,2,5,104,469,80 - 100 ,"19, 20, 21, 22, 23, 24, 25",7,0,0,0,0,186,1,0
Jakarta Selatan,Jagakarsa,Jagakarsa,,1,3,21,48,20 - 50 ,"19, 20, 21, 22, 23",5,0,0,0,0,0,1,0
Jakarta Selatan,Jagakarsa,Srengseng Sawah,,3,2,0,0,20,"19, 20, 21, 22, 23",5,0,0,0,0,0,0,0
Jakarta Selatan,Jagakarsa,Lenteng Agung,,6,8,65,130,15 - 50 ,"19, 20, 21, 22, 23, 24",6,0,0,0,0,0,1,0
Jakarta Selatan,Setiabudi,Karet Semanggi,,1,1,0,0,100,"29, 30, 31",3,0,0,0,0,0,0,0
Jakarta Pusat,Tanah Abang,Petamburan,,7,43,0,10932,50 - 200 ,"12, 13, 14, 15,16, 17, 18, 19, 20, 21, 22, 23, 24, 25",14,0,0,0,0,2676,15,0
Jakarta Pusat,Tanah Abang,Karet Tengsin,,3,7,0,0,35 - 250 ,"12, 13, 14, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 29, 30, 31                      ",16,0,0,0,0,1575,4,0
Jakarta Pusat,Kemayoran,Serdang,,7,113,5474,0,20 - 100 ,"18, 19, 20, 21, 22, 23, 24, 25, 26, 27",10,0,0,0,0,0,3,0
Jakarta Pusat,Kemayoran,Sumur Batu,,1,0,0,0,40 - 50 ,"18, 19, 20, 21, 22",5,0,0,0,0,0,0,0
Jakarta Pusat,Kemayoran,Utan Panjang,,2,0,0,0,20 - 30 ,"18, 19, 20, 21, 22",5,0,0,0,0,0,0,0
Jakarta Pusat,Kemayoran,Harapan Mulya,,2,0,0,0,30 - 50 ,"18, 19, 20, 21, 22",5,0,0,0,0,0,0,0
Jakarta Pusat,Kemayoran,Kebon Kosong,,4,0,0,0,30,"18, 19, 20, 21, 22",5,0,0,0,0,0,0,0
Jakarta Pusat,Kemayoran,Cempaka Baru,,6,0,0,0,30 - 40 ,"18, 19, 20, 21, 22",5,0,0,0,0,0,0,0
Jakarta Pusat,Kemayoran,Gunung Sahari Selatan,,4,0,0,0,40,"18, 19, 20, 21, 22, 23, 24, 25 ",8,0,0,0,0,0,0,0
Jakarta Pusat,Johar Baru,Galur,,2,5,0,0,30,"12 , 13 ",2,0,0,0,0,0,0,0
Jakarta Barat,Cengkareng,Rawa Buaya,,12,8,114,586,20 - 150 ,"12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",15,0,0,0,0,2510,8,0
Jakarta Barat,Cengkareng,Kapuk,,16,97,13892,49182, 10 - 70,"12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27",15,0,0,0,0,2735,14,0
Jakarta Barat,Cengkareng,Cengkareng Timur,,1,0,0,0, 5 - 15,"14, 15",2,0,0,0,0,0,0,0
Jakarta Barat,Cengkareng,Kedaung Kali Angke,,8,20,110,350,15 - 150,"14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27",14,0,0,0,0,2075,18,0
Jakarta Barat,Cengkareng,Duri Kosambi,,8,36,2150,7522,30 - 70,"17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27",11,0,0,0,0,3802,7,0
Jakarta Barat,Cengkareng,Cengkareng Barat,,10,0,0,0, 10 - 40,"17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27",11,0,0,0,0,950,9,0
Jakarta Barat,Kembangan,Kembangan Utara,,8,4,246,786,50 - 150 ,"16, 17, 18, 19, 20, 21, 22, 23,24",9,0,0,0,0,516,2,0
Jakarta Barat,Kembangan,Kembangan Selatan,,5,0,0,0,20 - 70 ,22,1,0,0,0,0,0,0,0
Jakarta Barat,Kebon Jeruk,Kedoya Utara,,11,34,3859,16543,10 - 150 ,"22, 23, 24",3,0,0,0,0,1714,3,0
Jakarta Barat,Kebon Jeruk,Kedoya Selatan,,1,14,1550,5216,10 - 100  ,"16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",11,0,0,0,0,275,3,0
Jakarta Barat,Kebon Jeruk,Duri Kepa,,4,0,0,0,30 - 100 ,"22, 23, 24, 25",4,0,0,0,0,5581,1,0
Jakarta Barat,Kebon Jeruk,Sukabumi Utara,,7,9,0,0,30 - 100 ,"29, 30, 31",3,0,0,0,0,0,3,0
Jakarta Barat,Grogol Petamburan,Wijaya Kusuma,,4,17,0,0, 10 - 60,"15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26",11,0,0,0,0,660,5,0
Jakarta Barat,Grogol Petamburan,Jelambar,,2,0,0,0, 10 - 40,"17, 18, 19, 20, 21, 22",6,0,0,0,0,120,2,0
Jakarta Barat,Grogol Petamburan,Grogol,,6,0,0,0,25,"18, 19, 20, 21, 22, 23",6,0,0,0,0,0,0,0
Jakarta Barat,Grogol Petamburan,Tomang,,4,36,0,0,30 - 45 ,"18, 19, 20, 21, 22",5,0,0,0,0,0,0,0
Jakarta Barat,Grogol Petamburan,Tanjung Duren Utara,,2,0,0,0, 10 - 30,18,1,0,0,0,0,0,0,0
Jakarta Barat,Grogol Petamburan,Tanjung Duren Selatan,,2,5,0,0, 10 - 50,"19, 20, 21, 22",4,0,0,0,0,669,0,0
Jakarta Barat,Grogol Petamburan,Jelambar Baru,,12,20,0,0,20 - 60 ,"18, 19, 20, 21, 22, 23",6,0,0,0,0,1633,5,0
Jakarta Barat,Kalideres,Tegal Alur,,16,85,3679,10530, 5 - 80,"20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30",11,0,0,0,0,6520,12,0
Jakarta Barat,Kalideres,Kamal,,2,0,0,0,30 - 50 ,"19, 20, 21, 22, 23",5,0,0,0,0,1448,4,0
Jakarta Barat,Tambora,Pekojan,,5,11,0,0,30 -60  ,"19, 20, 21, 22, 23",5,0,0,0,0,0,0,0
Jakarta Barat,Tambora,Jembatan Lima,,1,0,0,0, 10 - 20,18,1,0,0,0,0,0,0,0
Jakarta Barat,Palmerah,Kota Bambu Selatan,,1,1,23,150, 10 - 21,"19, 20, 21, 22",4,0,0,0,0,150,1,0
Jakarta Barat,Tamansari,Pinangsia,,3,3,0,0,20 - 100  ,"19, 20, 21, 22, 23, 24",6,0,0,0,0,0,0,0
Jakarta Utara,Penjaringan,Kapuk Muara,,5,31,0,0,20 - 100 ,"16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27",12,0,0,0,0,1587,4,0
Jakarta Utara,Penjaringan,Pejagalan,,11,103,0,0, 5 - 50,"18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31",13,0,0,0,0,262,3,0
Jakarta Utara,Penjaringan,Penjaringan,,4,11,0,0, 5 - 50,"18, 19, 20, 21, 22, 23, 24, 29, 30, 31",10,0,0,0,0,2501,8,0
Jakarta Utara,Penjaringan,Kamal Muara,,3,14,6,0, 10 - 35,"18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31",13,0,0,0,0,19,0,0
Jakarta Utara,Penjaringan,Pluit,,2,0,0,0, 10 - 20,"21, 22",2,0,0,0,0,0,450,0
Jakarta Utara,Pademangan,Pademangan Barat,,10,9,3,0, 10 - 50,"17, 18, 19, 20, 21, 22",6,0,0,0,0,284,2,0
Jakarta Utara,Pademangan,Ancol,,2,2,4,20,20 - 60 ,"19, 20,21",3,0,0,0,0,50,2,0
Jakarta Utara,Kelapa Gading,Pegangsaan dua,,18,18,0,2287, 10 - 80,"17, 18, 19, 20, 21, 22, 23, 24",8,0,0,0,0,2287,7,0
Jakarta Utara,Kelapa Gading,Kelapa Gading Timur,,19,17,0,1305,25 - 50 ,"17, 18, 19, 20, 21, 22, 29, 30, 31",9,0,0,0,0,1305,2,0
Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,,6,7,388,1305,25 - 50 ,"19, 20, 21, 22, 23, 24",6,0,0,0,0,2910,1,0
Jakarta Utara,Tanjung Priok,Tanjung Priok,,16,0,171,533, 10 - 40,"17, 18, 19, 20, 21, 22",6,0,0,0,0,533,6,0
Jakarta Utara,Tanjung Priok,Kebon Bawang,,16,0,382,1770,15 - 60 ,"17, 18, 19, 20, 21, 22",6,0,0,0,0,560,6,0
Jakarta Utara,Tanjung Priok,Warakas,,14,2,0,2429,15 - 85 ,"18, 19, 20, 21, 22",5,0,0,0,0,2429,10,0
Jakarta Utara,Tanjung Priok,Sunter Jaya,,3,0,0,257,20 - 30 ,"18, 19, 20, 21, 22, 23, 24",7,0,0,0,0,257,0,0
Jakarta Utara,Tanjung Priok,Sunter Agung,,7,0,0,585,15 - 60 ,"18, 19, 20, 21, 22",5,0,0,0,0,585,0,0
Jakarta Utara,Tanjung Priok,Papanggo,,3,0,0,350, 10 - 30,"18, 19, 20, 21, 22",5,0,0,0,0,0,4,0
Jakarta Utara,Koja,Rawa Badak Selatan,,3,19,0,729,20 - 90 ,"18, 19, 20, 21, 22, 23, 24",7,0,0,0,0,729,4,0
Jakarta Utara,Koja,Rawa Badak Utara,,2,0,0,0,21 - 90 ,"18, 19, 20, 21, 22",5,0,0,0,0,0,0,0
Jakarta Utara,Koja,Tugu Selatan,,6,17,0,686,22 - 90 ,"18, 19, 20, 21, 22, 23, 24",7,0,0,0,0,686,6,0
Jakarta Utara,Koja,Tugu Utara,,6,0,0,45,23 - 90 ,"18, 19, 20, 21, 22, 23, 24",7,0,0,0,0,45,2,0
Jakarta Utara,Cilincing,Sukapura,,4,0,0,680,20 - 90 ,"18, 23, 24",3,0,0,0,0,680,6,0
Jakarta Utara,Cilincing,Semper Barat,,14,0,0,780, 10 - 80,"18, 19, 20, 21, 22, 23, 24",7,0,0,0,0,780,8,0
Jakarta Utara,Cilincing,Semper Timur,,7,0,290,0, 10 - 30,"18, 19, 20, 21, 22",5,0,0,0,0,0,6,0
Jakarta Utara,Cilincing,Marunda,,5,19,112,0,15 - 40 ,"18, 19, 20, 21, 22, 23, 24",7,0,0,0,0,333,2,0
Jakarta Utara,Cilincing,Rorotan,,8,19,0,0,50 - 100 ,"18, 19, 20, 21, 22, 23, 25",7,0,0,0,0,200,2,0
