kota_administrasi,kecamatan,kelurahan,rw,jumlah_rw,jumlah_rt,jumlah_kk,jumlah_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi,jumlah_tempat_pengungsian,jumlah_nilai_kerugian
Jakarta Pusat,Tanah Abang,Karet Tengsin,,1,10,0,0,100 - 150,29,1,0,0,0,0,0,0,0
Jakarta Pusat,Tanah Abang,Petamburan,,1,1,0,0,30 - 40 ,"14, 25",2,0,0,0,0,0,0,0
Jakarta Selatan,Cilandak,Pondok Labu,,4,12,160,600,70 - 150 ,"24, 25, 26",3,0,0,0,0,490,0,0
Jakarta Selatan,Kebayoran Baru,Petogogan,,3,3,1733,7304,100 - 150 ,20,1,0,0,0,0,0,0,0
Jakarta Selatan,Kebayoran Lama,Cipulir,,1,2,380,49,20 - 180 ,"25, 26",2,0,0,0,0,0,0,0
Jakarta Selatan,Pancoran,Pengadegan,,2,3,358,0,50 - 125 ,"20, 21",2,0,0,0,0,0,0,0
Jakarta Selatan,Pancoran,Rawa Jati,,4,14,261,888,30 - 150 ,"20, 21, 24, 25",4,0,0,0,0,600,6,0
Jakarta Selatan,Pasar Minggu,Pejaten Timur,,3,0,0,0,50 - 100 ,"20, 21",2,0,0,0,0,0,0,0
Jakarta Selatan,Pesanggrahan,Pesanggrahan,,1,2,24,81,0 - 100 ,20,1,0,0,0,0,0,0,0
Jakarta Selatan,Tebet,Bukit Duri,,3,29,1449,3727,30 - 200 ,20,1,0,0,0,0,382,1,0
Jakarta Selatan,Tebet,Kebon Baru,,6,18,0,766,30 - 200 ,"20, 24, 25",3,0,0,0,0,0,0,0
Jakarta Selatan,Tebet,Manggarai,,2,5,426,1321,20 - 50 ,20,1,0,0,0,0,0,0,0
Jakarta Timur,Jatinegara,Bidara Cina,,3,24,462,1203,30 - 400 ,"20, 21, 22, 23, 25, 26",6,0,0,0,0,57,2,0
Jakarta Timur,Jatinegara,Kampung Melayu,,8,9,4548,17057,30 - 400 ,"11, 13, 14, 15, 20, 21, 22, 23, 24, 25, 26",11,0,0,0,0,605,6,0
Jakarta Timur,Kramat Jati,Cawang,,6,20,1999,6397,70 - 250 ,"20, 21, 24, 25",4,0,0,0,0,500,2,0
Jakarta Timur,Kramat Jati,Cililitan,,5,28,1327,3244,100 - 200 ,"20, 21",2,0,0,0,0,0,1,0
Jakarta Timur,Pasar Rebo,Kalisari,,1,2,0,0,0 - 80 ,"24, 25",2,0,0,0,0,0,0,0
Jakarta Utara,Penjaringan,Kapuk Muara,,3,1,0,0,20 - 60,"20, 21",2,0,0,0,0,0,0,0
