kota_administrasi,kecamatan,kelurahan,rw,jumlah_rw,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_jiwa,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Timur,Jatinegara,Kampung Melayu,"001, 002, 003, 004, 005, 006, 007, 008",8,30 - 100 ,"15, 21, 28",3,15,76,1969,5420,0,0,0,0,0,0,0,0
Jakarta Timur,Kramat Jati,Kramat Jati,,0,30,30,1,0,0,0,0,0,0,0,0,0,0,0,0
Jakarta Selatan,Cilandak,Pondok Labu,,0,25 - 30 ,30,1,0,0,0,0,0,0,0,0,0,0,0,0
Jakarta Selatan,Pesanggarahan,Ulujami,3,1,20 - 40 ,30,1,1,2,0,0,0,0,0,0,0,0,0,0
Jakarta Utara,Penjaringan,Penjaringan,"003, 017",2,20 - 50 ,19,1,2,12,1669,6676,0,0,0,0,0,0,0,0
